player_id,elo_final,elo_start,elo_peak,elo_peak_date,first_match_date,last_match_date,matches_played
109966,1411.5930708985927,1500,1565.6631951100942,1968-01-19,1968-01-19,1970-04-21,6
112346,1434.3368048899058,1500,1500.0,1968-01-19,1968-01-19,1968-01-19,1
100013,1481.8840684149159,1500,1649.8218386734768,1972-07-16,1968-01-19,1980-01-07,34
110033,1377.219872198585,1500,1500.0,1968-01-19,1968-01-19,1971-12-06,2
100180,1561.9453987981797,1500,1635.8280006995901,1977-12-12,1968-01-19,1978-08-14,73
110032,1434.3368048899058,1500,1500.0,1968-01-19,1968-01-19,1968-01-19,1
100257,1631.8456190104114,1500,2020.0620232631436,1976-04-20,1968-01-19,1983-02-28,575
110024,1480.0142115125084,1500,1546.9780894816888,1973-11-04,1968-01-19,1977-12-09,30
110034,1515.2349300500412,1500,1565.6631951100942,1968-01-19,1968-01-19,1968-01-19,2
110035,1434.3368048899058,1500,1500.0,1968-01-19,1968-01-19,1968-01-19,1
100053,1578.531880465731,1500,1676.8503035583485,1971-01-23,1968-01-19,1974-12-21,48
100178,1631.4378857076556,1500,1835.0106052966782,1971-03-07,1968-01-19,1979-07-09,226
100090,1656.8061974460509,1500,1913.0768210350068,1970-07-18,1968-01-19,1981-01-05,661
100169,1580.749414971617,1500,1861.9762224962592,1972-09-01,1968-01-19,1981-08-10,219
100201,1609.844020893984,1500,1804.033485227663,1974-06-10,1968-01-19,1982-12-02,309
100110,1642.6042197428071,1500,1697.6875075043247,1972-10-29,1968-01-19,1975-04-21,181
110045,1353.1073792432433,1500,1500.0,1968-01-19,1968-01-19,1968-07-08,3
100149,1640.391886681132,1500,1808.1508299869172,1974-06-03,1968-01-19,1985-10-14,106
100111,1554.478230082736,1500,1712.8274275226581,1972-06-24,1968-01-19,1975-12-21,170
112401,1306.863851201225,1500,1500.0,1968-01-19,1968-01-19,1980-01-07,4
202871,1420.0398490122632,1500,1566.945054907216,1968-01-19,1968-01-19,1969-06-23,11
100174,1867.1387894873385,1500,2212.044313292265,1976-11-07,1968-01-19,1984-07-23,1052
110036,1380.8851943555403,1500,1500.0,1968-01-19,1968-01-19,1969-12-01,3
110037,1464.1402457365257,1500,1500.0,1968-01-19,1968-01-19,1968-01-19,1
100203,1809.6864130064912,1500,2016.5677642663843,1977-08-16,1968-01-19,1983-11-29,776
106853,1514.9032149172604,1500,1565.6631951100942,1968-01-19,1968-01-19,1968-01-19,2
100236,1653.4342853349237,1500,1802.0266807885437,1978-08-29,1968-01-19,1982-07-26,242
109775,1690.6264169757214,1500,1760.8827721011892,1969-08-11,1968-01-19,1974-06-03,55
110038,1434.3368048899058,1500,1500.0,1968-01-19,1968-01-19,1968-01-19,1
109804,1539.9275300383051,1500,1571.6339188719496,1968-11-23,1968-01-19,1971-09-01,11
110046,1338.4648444802176,1500,1506.7834088358159,1968-12-30,1968-01-19,1970-12-19,6
110043,1455.3793405316562,1500,1500.0,1968-01-19,1968-01-19,1968-01-19,1
107383,1596.4915635961784,1500,1617.3824338822635,1971-01-23,1968-01-19,1971-01-23,5
110042,1370.4593337979343,1500,1500.0,1968-01-19,1968-01-19,1968-11-23,2
110039,1388.476315412929,1500,1565.6631951100942,1968-01-19,1968-01-19,1973-11-04,18
110040,1446.9002790525435,1500,1500.0,1968-01-19,1968-01-19,1968-12-30,4
100064,1720.9568150083662,1500,1976.921740295855,1972-03-05,1968-01-19,1976-11-23,395
100087,1931.463865706794,1500,2242.1036472517767,1974-10-20,1968-01-20,1981-04-20,797
100055,1876.520910454864,1500,2163.419597225428,1971-08-08,1968-01-20,1980-06-23,658
100057,1706.2457628632706,1500,1977.829142350046,1972-02-14,1968-01-20,1977-10-31,382
100069,1703.2772922962267,1500,2025.6536788943306,1970-02-25,1968-01-20,1980-06-02,293
100037,1763.530029321971,1500,2008.2292494270691,1970-09-19,1968-01-20,1978-07-17,565
100048,1871.2842262845736,1500,2015.7827938083458,1970-03-04,1968-01-20,1978-02-12,179
100058,1697.3286195798537,1500,2054.9469307166373,1973-04-01,1968-01-20,1980-11-10,682
100100,1944.1435059619473,1500,2166.3695883079504,1970-09-02,1968-01-20,1980-10-13,559
100027,1558.0939902674918,1500,1790.2198918941683,1969-12-26,1968-01-21,1975-10-05,94
110068,1432.2592470010904,1500,1510.097193760724,1968-07-29,1968-01-21,1969-08-11,12
112331,1457.2757843289655,1500,1500.0,1968-01-21,1968-01-21,1968-01-21,1
100077,1539.8538163754001,1500,1716.6419547860974,1970-07-06,1968-01-22,1976-05-31,57
109836,1375.8122050022616,1500,1500.0,1968-01-22,1968-01-22,1972-11-18,12
100148,1670.8750645305838,1500,1958.8729474969277,1972-11-05,1968-01-22,1982-06-14,552
112995,1683.9760036083333,1500,1738.447642863274,1968-03-18,1968-01-22,1969-05-21,10
109759,1507.1361408711844,1500,1693.7395116916275,1968-02-20,1968-01-22,1969-06-23,32
100123,1600.787261867814,1500,1779.0915540149242,1972-06-26,1968-01-22,1980-02-08,107
100047,1602.2918174171439,1500,1956.7397448358684,1971-04-28,1968-01-22,1979-12-24,474
111064,1399.443881639169,1500,1506.7834088358159,1968-05-03,1968-01-22,1968-07-08,6
100139,1672.2723939516181,1500,1945.0218374447202,1972-02-28,1968-01-22,1976-11-23,392
110194,1445.9969999913567,1500,1503.302722688608,1968-05-29,1968-01-22,1971-05-24,18
125579,1563.069249201816,1500,1565.6631951100942,1968-01-22,1968-01-22,1968-01-22,3
112517,1444.9233918768591,1500,1500.0,1968-01-22,1968-01-22,1968-05-29,4
100089,1480.3564829812515,1500,1654.4721526366582,1969-06-16,1968-01-22,1977-05-23,45
109837,1602.9150498946785,1500,1617.680296335106,1972-06-17,1968-01-22,1972-11-18,27
100009,1681.431461711245,1500,1877.6341395846837,1971-05-21,1968-01-22,1973-07-09,138
110017,1467.5627743615903,1500,1565.6631951100942,1968-01-22,1968-01-22,1971-06-21,21
145274,1434.3368048899058,1500,1500.0,1968-01-22,1968-01-22,1968-01-22,1
109748,1620.6575291726656,1500,1648.6630194318677,1970-06-08,1968-01-22,1971-07-10,36
211046,1481.4093902685536,1500,1547.5953873661445,1968-05-29,1968-01-22,1970-05-11,7
110270,1412.2066252965792,1500,1565.6631951100942,1968-01-22,1968-01-22,1972-05-05,4
100189,1544.4328438175073,1500,1594.8658056448178,1979-10-27,1968-01-22,1983-08-08,20
100112,1460.7456752015225,1500,1593.900279813123,1969-06-09,1968-01-22,1974-06-03,52
147446,1422.0725382885757,1500,1500.0,1968-01-22,1968-01-22,1968-01-22,1
100159,1776.4217832906784,1500,1811.6047325902905,1973-07-16,1968-01-22,1974-05-26,62
148430,1450.3887703754797,1500,1500.0,1968-01-22,1968-01-22,1968-01-22,1
112985,1648.6324630658767,1500,1659.0152217804725,1968-05-06,1968-01-22,1971-05-21,38
109767,1396.6366637062251,1500,1500.0,1968-01-22,1968-01-22,1971-05-22,8
148045,1443.547981494129,1500,1500.0,1968-01-22,1968-01-22,1968-01-22,1
100045,1489.6790409262376,1500,1827.4285039395718,1972-06-26,1968-01-22,1980-06-23,113
109761,1439.776150073046,1500,1565.6631951100942,1968-01-22,1968-01-22,1972-05-14,42
148429,1434.3368048899058,1500,1500.0,1968-01-22,1968-01-22,1968-01-22,1
112383,1490.9641506189303,1500,1500.0,1968-01-31,1968-01-31,1970-08-09,3
108434,1399.0754418162333,1500,1507.8160359689944,1973-07-09,1968-01-31,1980-05-26,36
110059,1341.5192406103424,1500,1500.0,1968-01-31,1968-01-31,1973-06-04,4
100135,1671.3831401729412,1500,2029.7455223320835,1975-01-17,1968-01-31,1982-03-05,759
110055,1438.373207732902,1500,1500.0,1968-01-31,1968-01-31,1971-03-07,3
108085,1430.741610945629,1500,1565.6631951100942,1968-01-31,1968-01-31,1977-01-10,32
109810,1509.9407940881918,1500,1513.9755487533812,1971-12-06,1968-01-31,1977-01-10,8
110053,1368.0719106043855,1500,1596.465254675391,1968-01-31,1968-01-31,1973-01-08,11
110412,1406.9016079972907,1500,1500.0,1968-01-31,1968-01-31,1972-06-26,2
110056,1391.6923224763452,1500,1500.0,1968-01-31,1968-01-31,1971-12-06,3
209560,1421.4326782238068,1500,1500.0,1968-01-31,1968-01-31,1970-01-26,3
210809,1466.1935782608502,1500,1500.0,1968-01-31,1968-01-31,1968-01-31,1
210810,1514.1291631612912,1500,1601.870712171772,1968-01-31,1968-01-31,1968-01-31,2
210808,1526.6921728125928,1500,1526.6921728125928,1968-01-31,1968-01-31,1968-01-31,2
210813,1420.5628204267432,1500,1500.0,1968-01-31,1968-01-31,1968-01-31,1
210812,1472.903135371973,1500,1500.0,1968-01-31,1968-01-31,1968-01-31,1
210811,1475.2687005166824,1500,1500.0,1968-01-31,1968-01-31,1968-01-31,1
109932,1546.8873325822774,1500,1620.8332292338437,1968-08-29,1968-02-02,1969-08-27,13
100144,1898.5351494191075,1500,2081.6014035599987,1971-10-18,1968-02-02,1985-02-18,786
100128,1840.5885015910549,1500,2167.1225802823383,1970-07-27,1968-02-08,1979-01-15,714
100186,1772.156192110235,1500,2013.4824255276237,1977-08-16,1968-02-08,1984-07-23,597
100229,1774.7073992370815,1500,2153.3996508392397,1977-03-28,1968-02-08,1984-08-28,660
199999,1081.881635096141,1500,1500.0,1968-02-08,1968-02-08,1980-06-02,93
100126,1849.2803846463378,1500,2291.9744720789504,1973-05-09,1968-02-10,1985-02-18,1133
100061,1612.2576012171048,1500,1814.0706610316568,1972-09-18,1968-02-10,1975-04-21,256
100039,1584.0050190489699,1500,1811.5298657261008,1973-06-11,1968-02-10,1975-05-26,171
100049,1467.5341897380747,1500,1831.9031340284307,1968-09-22,1968-02-12,1978-12-04,354
100234,1526.220978237725,1500,1613.9352371138648,1972-04-08,1968-02-12,1975-03-10,60
202567,1431.540728146465,1500,1680.8161645426667,1968-07-22,1968-02-12,1972-07-12,52
109752,1606.6754739392932,1500,1755.3554329606975,1968-06-14,1968-02-12,1971-07-19,115
109811,1512.8713515955562,1500,1602.701186836291,1969-08-16,1968-02-12,1974-08-26,40
110120,1408.6313873736824,1500,1544.6373312924181,1968-02-12,1968-02-12,1971-09-20,5
100244,1723.5955862061894,1500,2104.3592202414907,1975-05-07,1968-02-12,1985-12-09,1030
100217,1652.406401334583,1500,1730.092121944154,1973-06-25,1968-02-12,1973-10-07,84
100134,1458.815048770044,1500,1873.248807643407,1969-09-29,1968-02-12,1975-03-31,202
210814,1434.3368048899058,1500,1500.0,1968-02-12,1968-02-12,1968-02-12,1
109879,1520.191013175023,1500,1690.803551589642,1969-02-17,1968-02-12,1971-10-18,53
100212,1405.1172829561372,1500,1589.5969014250159,1969-08-27,1968-02-12,1974-03-24,39
100182,1667.5825047225098,1500,1791.0922602852268,1976-06-15,1968-02-12,1983-04-25,305
